 ¸ ; ◊ 
НИTИ;НИЦĪИ
ᴴT;ᴴЦĪ
gи;цĪи
GИ;ЛЪ̄И
TI;ТI
RI;И'ЛЪ̄
ĒI;Е̄ЛЪ̄
ÉI;Е'ЛЪ̄
ЕI;ЕЛЪ̄
ИI;ИЛЪ̄
АI;АЛЪ̄
ÁI;А'ЛЪ̄
ĀI;А̄ЛЪ̄
ËI;Е̄'ЛЪ̄
ÊI;А̄'ЛЪ̄
ÍI;Ӣ'ЛЪ̄
²I;Э'ЛЪ̄
ŌI;О̄ЛЪ̄
-I;-ЛЪ̄
ᴴI;ᴴЛЪ̄
МI;М
M;ЦĪ
Ë;Е̄'
Ē;Е̄
É;Е'
Ê;А̄'
W;ч̄
V;Ч̄
p;ц̄
‡;е̄'
μ;У'
µ;У'
Î;Ӯ'
S;и'
\];с̄
Y;ӣ
Ì;О̄'
Ō;О̄
Ó;О'
ό;о'
ō;о̄
‰;о̄'
¸;о̄'
ˆ;ӣ'
Í;Ӣ'
Á;А'
Ā;А̄
†;а̄'
£;а̄'
ā;а̄
á;а'
é;е'
ē;е̄
\};е̄'
ë;э̄
ý;у'
ỳ;у'
\[;ӯ
¦;э'
Z;Ӯ
Ề;Е'
c;лъ̄
E\*;Е*
E;Л̄
D;к̄
n;и'
a;л̄
Þ;н̄
O;х̄
R;И'
J;ЧĪ
K;чĪ
H;лъ̄
â;з̄
F;л̄
B;с̄
A;С̄
Ê;А̄'
Å;А̄'
º;А̄'
Ë;Е̄'
Q;и'
Ç;О̄'
Š;ӯ'
¹;ӯ'
N;Х̄
T;Ц̄
t;ӣ
Y;ӣ
Æ;Е̄'
ã;М̄
L;цĪ
Û;д̄
Ý;м̄
H;лъ̄
U;ц̄
²;Э'
¬;Э̄
C;К̄
ć;КĪ
÷;кĪ
Ć;кĪ
ą;КĪ
r;ц̄
j;х̄
à;◊
ß;й̄
ó;кĪ
X;Ӣ